route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
361-95,          0,361,"Express - Cottage Grove - St Paul",,3,http://www.metrotransit.org/route/361,,000000
364-95,          2,364,"Express - Newport - Cottage Grove - St Paul",,3,http://www.metrotransit.org/route/364,,000000
365-95,          0,365,"Express - Cottage Grove - Mpls",,3,http://www.metrotransit.org/route/365,,000000
375-95,          0,375,"Express - Oakdale - Mpls",,3,http://www.metrotransit.org/route/375,,000000
415-95,          0,415,"MOA - Mendota Heights - Eagan",,3,http://www.metrotransit.org/route/415,,000000
417-95,          2,417,"Mendota Heights - St Paul",,3,http://www.metrotransit.org/route/417,,000000
452-95,          0,452,"Express - West St Paul - Mpls",,3,http://www.metrotransit.org/route/452,,000000
467-95,          0,467,"Express - Lakeville-Minneapolis",,3,http://www.metrotransit.org/route/467,,000000
515-95,          0,515,"Southdale - 66th St - Bloomington Av - VA - MOA",,3,http://www.metrotransit.org/route/515,,000000
535-95,          0,535,"Ltd Stop - South Bloomington - Richfield - Mpls",,3,http://www.metrotransit.org/route/535,,000000
537-95,          2,537,"Norm Coll - France Av - York Av - Southdale",,3,http://www.metrotransit.org/route/537,,000000
538-95,          2,538,"Southdale - York Av - Southtown - 86th St - MOA",,3,http://www.metrotransit.org/route/538,,000000
539-95,          2,539,"Norm Coll - France Av - 98St - MOA",,3,http://www.metrotransit.org/route/539,,000000
540-95,          2,540,"Edina - Richfield - 77th St - MOA",,3,http://www.metrotransit.org/route/540,,000000
542-95,          2,542,"84th St - 76th St - American Blvd - MOA",,3,http://www.metrotransit.org/route/542,,000000
552-95,          0,552,"Express - 12th Av - Bloomington Av - Mpls",,3,http://www.metrotransit.org/route/552,,000000
553-95,          0,553,"Express - Bloomington - Portland Av - Mpls",,3,http://www.metrotransit.org/route/553,,000000
554-95,          0,554,"Express - Bloomington - Nicollet Av - Mpls",,3,http://www.metrotransit.org/route/554,,000000
558-95,          0,558,"Express - Southtown - Lyndale Av - Penn Av - Mpls",,3,http://www.metrotransit.org/route/558,,000000
578-95,          0,578,"Express - Edina - Southdale - Mpls",,3,http://www.metrotransit.org/route/578,,000000
579-95,          0,579,"Express - U of M - Southdale",,3,http://www.metrotransit.org/route/579,,000000
587-95,          0,587,"Express - Edina - Valley View Rd - Mpls",,3,http://www.metrotransit.org/route/587,,000000
588-95,          0,588,"Mpls - Normandale Lake Office Park",,3,http://www.metrotransit.org/route/588,,000000
589-95,          0,589,"Express - West Bloomington - Mpls",,3,http://www.metrotransit.org/route/589,,000000
597-95,          0,597,"Express - West Bloomington - Mpls",,3,http://www.metrotransit.org/route/597,,000000
604-95,          2,604,"Wayzata Blvd - Louisiana Av - Excelsior Blvd",,3,http://www.metrotransit.org/route/604,,000000
614-95,          2,614,"Ridgedale - Minnetonka Heights",,3,http://www.metrotransit.org/route/614,,000000
615-95,          2,615,"Ridgedale - Co Rd 73 - St Louis Park",,3,http://www.metrotransit.org/route/615,,000000
643-95,          0,643,"Ltd Stop - Cedar Lake Rd - Mpls",,3,http://www.metrotransit.org/route/643,,000000
649-95,          0,649,"Express - Louisiana Av - Cedar Lake Rd- Mpls",,3,http://www.metrotransit.org/route/649,,000000
652-95,          0,652,"Express - Plymouth Rd - Co Rd 73 P&R - U of M",,3,http://www.metrotransit.org/route/652,,000000
663-95,          0,663,"Express - Cedar Lake Rd - Mpls",,3,http://www.metrotransit.org/route/663,,000000
664-95,          0,664,"Express - Co Rd 3 - Excelsior Blvd - Mpls",,3,http://www.metrotransit.org/route/664,,000000
667-95,          0,667,"Express - Minnetonka - St Louis Park - Mpls",,3,http://www.metrotransit.org/route/667,,000000
668-95,          0,668,"Express - Hopkins - St Louis Park - Mpls",,3,http://www.metrotransit.org/route/668,,000000
670-95,          2,670,"Express - Excelsior - Mpls",,3,http://www.metrotransit.org/route/670,,000000
671-95,          2,671,"Express - Excelsior - Deephaven - Mpls",,3,http://www.metrotransit.org/route/671,,000000
672-95,          0,672,"Express - Wayzata - Minnetonka - Mpls",,3,http://www.metrotransit.org/route/672,,000000
673-95,          0,673,"Express - Co Rd 73 P&R - Mpls",,3,http://www.metrotransit.org/route/673,,000000
674-95,          0,674,"Express - Maple Plain -Orono - Wayzata - Mpls",,3,http://www.metrotransit.org/route/674,,000000
675-95,          0,675,"Express - Mound - Wayzata - Ridgedale - Mpls",,3,http://www.metrotransit.org/route/675,,000000
677-95,          0,677,"Express- Mound - Orono - Plymouth Rd - Mpls",,3,http://www.metrotransit.org/route/677,,000000
