MESSAGE_TYPE_ID,TRANSMITTED_MESSAGE_ID,CALENDAR_ID,LATITUDE,Lat,LONGITUDE,Long,ADHERENCE,MESSAGE_TIMESTAMP,LOCAL_TIMESTAMP,Trip_Seq,DIRECTION,ODOMETER,SOURCE_HOST,ROUTE_ABBR,NODE_ABBR,FOM,MESSAGE_TYPE_TEXT
12,2764179883,120161001,449801416,44.9801416,-931671612,-93.1671612,-1,2016-10-01T14:41:47.203Z,2016-10-01T09:41:22.603Z,54,1,2015,2639,921,SNLA,2,Vehicle Location
12,2764179968,120161001,449719122,44.9719122,-931670783,-93.1670783,-1,2016-10-01T14:42:49.620Z,2016-10-01T09:41:22.603Z,55,1,2072,2639,921,SNLA,2,Vehicle Location
12,2764179985,120161001,449686904,44.9686904,-931670992,-93.1670992,-1,2016-10-01T14:43:06.997Z,2016-10-01T09:41:22.603Z,56,1,2096,2639,921,SNLA,2,Vehicle Location
12,2764180018,120161001,449649724,44.9649724,-931671133,-93.1671133,-1,2016-10-01T14:43:31.007Z,2016-10-01T09:41:22.603Z,57,1,2121,2639,921,SNLA,2,Vehicle Location
12,2764180052,120161001,449622713,44.9622713,-931671152,-93.1671152,-1,2016-10-01T14:43:49.007Z,2016-10-01T09:41:22.603Z,58,1,2140,2639,921,SNLA,2,Vehicle Location
12,2764180143,120161001,449549509,44.9549509,-931670617,-93.1670617,0,2016-10-01T14:44:51.410Z,2016-10-01T09:41:22.603Z,59,1,2189,2639,921,SNLA,2,Vehicle Location
16,1051615007,120161001,449545141,44.9545141,-931670447,-93.1670447,0,2016-10-01T14:45:20.410Z,2016-10-01T09:45:20.410Z,60,1,2193,2639,921,UNSN,2,Timepoint Crossing
128,1051615011,120161001,449549494,44.9549494,-931670597,-93.1670597,,2016-10-01T14:45:26.197Z,2016-10-01T09:45:26.197Z,61,1,2189,2639,921,UNSN,2,Verbose Pass Count
12,2764180200,120161001,449533096,44.9533096,-931670778,-93.1670778,0,2016-10-01T14:45:29.800Z,2016-10-01T09:45:26.197Z,62,1,2201,2639,921,UNSN,2,Vehicle Location
12,2764180300,120161001,449490927,44.9490927,-931670624,-93.1670624,0,2016-10-01T14:46:29.813Z,2016-10-01T09:45:26.197Z,63,1,2230,2639,921,UNSN,2,Vehicle Location
128,1051615100,120161001,449476023,44.9476023,-931670667,-93.1670667,,2016-10-01T14:47:33.400Z,2016-10-01T09:47:33.400Z,64,1,2239,2639,921,UNSN,2,Verbose Pass Count
12,2764180408,120161001,449419837,44.9419837,-931670665,-93.1670665,0,2016-10-01T14:47:37.223Z,2016-10-01T09:47:33.400Z,65,1,2278,2639,921,UNSN,2,Vehicle Location
16,1051615107,120161001,449394210,44.939421,-931670799,-93.1670799,0,2016-10-01T14:47:58.003Z,2016-10-01T09:47:58.003Z,66,1,2296,2639,921,GRSN,2,Timepoint Crossing
12,2764180438,120161001,449385584,44.9385584,-931670736,-93.1670736,0,2016-10-01T14:48:01.607Z,2016-10-01T09:47:58.003Z,67,1,2302,2639,921,GRSN,2,Vehicle Location
12,2764180538,120161001,449294435,44.9294435,-931670670,-93.167067,1,2016-10-01T14:49:04.007Z,2016-10-01T09:47:58.003Z,68,1,2365,2639,921,GRSN,2,Vehicle Location
12,2764180636,120161001,449255571,44.9255571,-931670948,-93.1670948,0,2016-10-01T14:50:07.607Z,2016-10-01T09:47:58.003Z,69,1,2392,2639,921,GRSN,2,Vehicle Location
12,2764180740,120161001,449198939,44.9198939,-931670715,-93.1670715,0,2016-10-01T14:51:07.607Z,2016-10-01T09:47:58.003Z,70,1,2430,2639,921,GRSN,2,Vehicle Location
128,1051615251,120161001,449199113,44.9199113,-931670735,-93.1670735,,2016-10-01T14:52:11.207Z,2016-10-01T09:52:11.207Z,71,1,2430,2639,921,GRSN,2,Verbose Pass Count
