ID,CALENDAR_ID,Literal_Time_start,LONGITUDE_start,LATITUDE_start,Literal_Time_end,LONGITUDE_end,LATITUDE_end,ROUTE_ABBR,DIRECTION,SERV_DAY_start,SERV_DAY_end,MESSAGE_COUNT
120161008-2645-14,120161008,2016-10-08 20:20:55.163000,-931682445,450122448,2016-10-08 21:05:12.143000,-932203770,449211847,921.0,1.0,Weekday,Weekday,90
120161008-2645-15,120161008,2016-10-08 21:05:47.210000,-932208067,449209239,2016-10-08 21:51:42.843000,-931684958,450125844,921.0,4.0,Weekday,Weekday,87
120161008-2645-16,120161008,2016-10-08 21:52:05.027000,-931681263,450122681,2016-10-08 22:34:53.460000,-932204353,449212762,921.0,1.0,Weekday,Weekday,72
120161008-2645-17,120161008,2016-10-08 22:35:32.070000,-932208141,449209268,2016-10-08 23:22:51.693000,-931685664,450127475,921.0,4.0,Weekday,Weekday,77
120161008-2645-18,120161008,2016-10-08 23:23:25.280000,-931680467,450123205,2016-10-09 00:06:05.553000,-932204574,449212604,921.0,1.0,Weekday,Weekday,83
120161008-2645-19,120161008,2016-10-09 00:07:01.747000,-932208505,449209427,2016-10-09 00:52:35.677000,-931684551,450126078,921.0,4.0,Weekday,Weekday,84
120161008-2645-20,120161008,2016-10-09 00:52:46.770000,-931680680,450123051,2016-10-09 02:28:58.163000,-932428991,448633578,921.0,1.0,Weekday,Weekday,134
120161001-2646-00,120161001,2016-10-01 11:32:15.437000,-932418612,448634903,2016-10-01 11:48:46.743000,-932418612,448634903,,,Saturday,Saturday,19
120161001-2646-01,120161001,2016-10-01 11:48:58.000000,-932418612,448634903,2016-10-01 12:44:38.730000,-931685268,450125897,921.0,4.0,Saturday,Saturday,70
120161001-2646-02,120161001,2016-10-01 12:45:14.000000,-931684588,450125255,2016-10-01 13:27:19.780000,-932204624,449212831,921.0,1.0,Saturday,Saturday,60
120161001-2646-03,120161001,2016-10-01 13:28:05.000000,-932204016,449211438,2016-10-01 14:13:26.740000,-931685263,450125872,921.0,4.0,Saturday,Saturday,63
120161001-2646-04,120161001,2016-10-01 14:14:00.000000,-931681468,450128690,2016-10-01 14:57:04.203000,-932203819,449211471,921.0,1.0,Saturday,Saturday,59
120161001-2646-05,120161001,2016-10-01 14:58:00.000000,-932204025,449211424,2016-10-01 15:42:55.560000,-931685262,450124608,921.0,4.0,Saturday,Saturday,64
120161001-2646-06,120161001,2016-10-01 15:43:03.000000,-931682573,450127644,2016-10-01 16:27:26.173000,-932204615,449212700,921.0,1.0,Saturday,Saturday,64
120161001-2646-07,120161001,2016-10-01 16:28:02.000000,-932204169,449211550,2016-10-01 17:11:43.743000,-931685199,450125415,921.0,4.0,Saturday,Saturday,60
120161001-2646-08,120161001,2016-10-01 17:13:05.000000,-931683655,450126792,2016-10-01 17:54:39.023000,-932204372,449212903,921.0,1.0,Saturday,Saturday,64
120161001-2646-09,120161001,2016-10-01 17:55:05.000000,-932205111,449212803,2016-10-01 18:41:33.047000,-931685228,450125673,921.0,4.0,Saturday,Saturday,59
120161001-2646-10,120161001,2016-10-01 18:42:08.000000,-931681475,450128692,2016-10-01 19:23:10.657000,-932205008,449212558,921.0,1.0,Saturday,Saturday,58
120161001-2646-11,120161001,2016-10-01 19:24:03.477000,-932208985,449209890,2016-10-01 20:09:48.033000,-931685332,450125322,921.0,4.0,Saturday,Saturday,65
120161001-2646-12,120161001,2016-10-01 20:09:59.827000,-931682109,450122682,2016-10-01 20:54:04.293000,-932205063,449212258,921.0,1.0,Saturday,Saturday,61
120161001-2646-13,120161001,2016-10-01 20:54:33.687000,-932208553,449209286,2016-10-01 21:41:01.473000,-931685165,450125619,921.0,4.0,Saturday,Saturday,70
120161001-2646-14,120161001,2016-10-01 21:41:53.680000,-931681674,450122607,2016-10-01 22:24:54.013000,-932204711,449213336,921.0,1.0,Saturday,Saturday,67
