trip_id,service_id_start,trip_headsign_start,dir_sign_start,SERV_DAY_start,stop_lat_start,stop_lon_start,arrival_time_start,departure_time_start,stop_id_start,stop_name_start,stop_desc_start,stop_lat_end,stop_lon_end,arrival_time_end,departure_time_end,stop_id_end,stop_name_end,stop_desc_end
9558289-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4.0,Sunday,44.921353,-93.220574,23:15:00,23:15:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,23:40:00,23:40:00,52531,Rosedale Transit Center  Gate A,Near side S
9558294-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Sunday,45.012498,-93.168526,23:19:00,23:19:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,23:45:00,23:45:00,51544,46th St Station Gate A,Near side N
9552652-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Saturday,45.012498,-93.168526,23:19:00,23:19:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,23:45:00,23:45:00,51544,46th St Station Gate A,Near side N
9541645-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,23:24:00,23:24:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,23:51:00,23:51:00,52531,Rosedale Transit Center  Gate A,Near side S
9541747-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,23:29:00,23:29:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,23:55:00,23:55:00,51544,46th St Station Gate A,Near side N
9552556-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4.0,Saturday,44.921353,-93.220574,23:44:00,23:44:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,24:10:00,24:10:00,52531,Rosedale Transit Center  Gate A,Near side S
9558290-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4.0,Sunday,44.921353,-93.220574,23:45:00,23:45:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,24:10:00,24:10:00,52531,Rosedale Transit Center  Gate A,Near side S
9552653-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Saturday,45.012498,-93.168526,23:49:00,23:49:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,24:15:00,24:15:00,51544,46th St Station Gate A,Near side N
9558293-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Sunday,45.012498,-93.168526,23:49:00,23:49:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,24:15:00,24:15:00,51544,46th St Station Gate A,Near side N
9541646-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,23:54:00,23:54:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,24:20:00,24:20:00,52531,Rosedale Transit Center  Gate A,Near side S
9541748-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,23:59:00,23:59:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,24:25:00,24:25:00,51544,46th St Station Gate A,Near side N
9552538-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4.0,Saturday,44.921353,-93.220574,24:14:00,24:14:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,24:40:00,24:40:00,52531,Rosedale Transit Center  Gate A,Near side S
9558291-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4.0,Sunday,44.921353,-93.220574,24:15:00,24:15:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,24:40:00,24:40:00,52531,Rosedale Transit Center  Gate A,Near side S
9558292-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Sunday,45.012498,-93.168526,24:19:00,24:19:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,24:45:00,24:45:00,51544,46th St Station Gate A,Near side N
9552641-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Saturday,45.012498,-93.168526,24:19:00,24:19:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,24:45:00,24:45:00,51544,46th St Station Gate A,Near side N
9541647-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,24:29:00,24:29:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,24:55:00,24:55:00,52531,Rosedale Transit Center  Gate A,Near side S
9541749-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,24:34:00,24:34:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,25:00:00,25:00:00,51544,46th St Station Gate A,Near side N
9552656-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Northbound A LINE/Rosedale/Rapid,4.0,Saturday,44.921353,-93.220574,24:44:00,24:44:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,25:10:00,25:10:00,52531,Rosedale Transit Center  Gate A,Near side S
9558386-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Northbound A LINE/Rosedale/Rapid,4.0,Sunday,44.921353,-93.220574,24:45:00,24:45:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,25:10:00,25:10:00,52531,Rosedale Transit Center  Gate A,Near side S
9552655-AUG16-MVS-BUS-Saturday-01,AUG16-MVS-BUS-Saturday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Saturday,45.012498,-93.168526,24:49:00,24:49:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,25:15:00,25:15:00,51544,46th St Station Gate A,Near side N
9558396-AUG16-MVS-BUS-Sunday-01,AUG16-MVS-BUS-Sunday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Sunday,45.012498,-93.168526,24:49:00,24:49:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,25:15:00,25:15:00,51544,46th St Station Gate A,Near side N
9541750-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Southbound A LINE/46 ST Station/Rapid,1.0,Weekday,45.012498,-93.168526,24:59:00,24:59:00,52531,Rosedale Transit Center  Gate A,Near side S,44.921353,-93.220574,25:25:00,25:25:00,51544,46th St Station Gate A,Near side N
9541648-AUG16-MVS-BUS-Weekday-01,AUG16-MVS-BUS-Weekday-01,Northbound A LINE/Rosedale/Rapid,4.0,Weekday,44.921353,-93.220574,25:09:00,25:09:00,51544,46th St Station Gate A,Near side N,45.012498,-93.168526,25:35:00,25:35:00,52531,Rosedale Transit Center  Gate A,Near side S
